id,slug,type,title,subtitle,era,region,date_label,rarity,difficulty,verification_status,summary,importance,facts,tags,stats,location,sources
PER_ROM_001,romulus,PERSON,Romulus,Legendary founder of Rome,Early Rome,Latium,traditional 8th century BCE,RARE,2,NEEDS_REVIEW,Romulus is the legendary founder and first king of Rome in Roman tradition.,"The story of Romulus shaped Roman identity, kingship myths and later ideas about Rome's destiny.","[""Roman tradition dated the foundation of Rome to 753 BCE."", ""Romulus and Remus were central figures in Rome's foundation myth."", ""The story belongs to mythic tradition, not secure documentary history.""]","[""Rome"", ""Myth"", ""Foundation"", ""Kingship""]","{""influence"": 7, ""complexity"": 3, ""legacy"": 8, ""military"": 3, ""culture"": 9, ""politics"": 5, ""religion"": 5, ""economy"": 1, ""connections"": 7, ""sourceReliability"": 4}","{""label"": ""Rome"", ""lat"": 41.9028, ""lng"": 12.4964}","[""SRC_LIVY"", ""SRC_BRITANNICA_ROMULUS""]"
EVT_ROM_001,founding-of-rome,EVENT,Founding of Rome,Traditional beginning of the city,Early Rome,Latium,traditionally 753 BCE,EPIC,2,NEEDS_REVIEW,The founding of Rome is traditionally placed in 753 BCE and tied to the Romulus and Remus legend.,It gives Rome a symbolic origin story and anchors later Roman memory.,"[""753 BCE is the traditional date, not a secure archaeological event date."", ""The foundation myth connected Rome with divine ancestry and heroic violence."", ""Later Romans treated the foundation story as part of civic identity.""]","[""Rome"", ""Myth"", ""Foundation"", ""City""]","{""influence"": 8, ""complexity"": 3, ""legacy"": 9, ""military"": 1, ""culture"": 10, ""politics"": 5, ""religion"": 6, ""economy"": 2, ""connections"": 8, ""sourceReliability"": 4}","{""label"": ""Rome"", ""lat"": 41.9028, ""lng"": 12.4964}","[""SRC_LIVY"", ""SRC_BRITANNICA_ROME""]"
STATE_ROM_001,roman-kingdom,STATE,Roman Kingdom,Rome before the Republic,Early Rome,Latium,traditionally 753–509 BCE,RARE,3,NEEDS_REVIEW,The Roman Kingdom is the traditional monarchic phase of early Rome before the Republic.,It explains the later Roman hatred of kingship and the political memory behind the Republic.,"[""The period is partly legendary and difficult to verify in detail."", ""Roman tradition lists seven kings before the Republic."", ""The expulsion of the last king became a core Republican memory.""]","[""Rome"", ""Monarchy"", ""Early Rome"", ""State""]","{""influence"": 6, ""complexity"": 5, ""legacy"": 7, ""military"": 4, ""culture"": 6, ""politics"": 8, ""religion"": 5, ""economy"": 3, ""connections"": 7, ""sourceReliability"": 4}","{""label"": ""Rome"", ""lat"": 41.9028, ""lng"": 12.4964}","[""SRC_LIVY"", ""SRC_BRITANNICA_ROME""]"
EVT_ROM_002,expulsion-of-the-kings,EVENT,Expulsion of the Kings,Traditional birth of the Roman Republic,Early Republic,Latium,traditionally 509 BCE,EPIC,3,NEEDS_REVIEW,Roman tradition says the monarchy ended after the expulsion of Tarquinius Superbus.,This event became the foundation story of Roman Republican politics.,"[""509 BCE is the traditional date for the beginning of the Republic."", ""Roman memory linked kingship with tyranny."", ""The Republic replaced monarchy with annually elected magistrates.""]","[""Rome"", ""Republic"", ""Monarchy"", ""Politics""]","{""influence"": 9, ""complexity"": 4, ""legacy"": 9, ""military"": 2, ""culture"": 6, ""politics"": 10, ""religion"": 3, ""economy"": 3, ""connections"": 9, ""sourceReliability"": 5}","{""label"": ""Rome"", ""lat"": 41.9028, ""lng"": 12.4964}","[""SRC_LIVY"", ""SRC_BRITANNICA_ROMAN_REPUBLIC""]"
STATE_ROM_002,roman-republic,STATE,Roman Republic,Rome's republican political system,Roman Republic,Mediterranean,509–27 BCE,LEGENDARY,5,NEEDS_REVIEW,"The Roman Republic was a political system built around magistrates, assemblies, elite competition and the Senate.","It created the military and political machine that conquered the Mediterranean, then collapsed into civil war.","[""The Republic was not a modern democracy."", ""The Senate held enormous influence, especially among the elite."", ""Military expansion and social conflict helped destabilize the system.""]","[""Rome"", ""Republic"", ""Politics"", ""Expansion""]","{""influence"": 10, ""complexity"": 8, ""legacy"": 10, ""military"": 9, ""culture"": 8, ""politics"": 10, ""religion"": 4, ""economy"": 8, ""connections"": 10, ""sourceReliability"": 8}","{""label"": ""Rome"", ""lat"": 41.9028, ""lng"": 12.4964}","[""SRC_BRITANNICA_ROMAN_REPUBLIC""]"
ORG_ROM_001,roman-senate,FACTION,Roman Senate,Elite council at the heart of Roman politics,Roman Republic / Empire,Rome,ancient Rome,EPIC,5,NEEDS_REVIEW,The Roman Senate was a central political body dominated by Rome's elite families.,"Understanding the Senate is necessary for understanding the Republic, Caesar and the birth of imperial rule.","[""The Senate was highly influential but changed across Roman history."", ""Senators came from Rome's political elite."", ""Conflict between commanders and senatorial authority was central to the late Republic.""]","[""Rome"", ""Senate"", ""Politics"", ""Elite""]","{""influence"": 10, ""complexity"": 7, ""legacy"": 9, ""military"": 4, ""culture"": 6, ""politics"": 10, ""religion"": 4, ""economy"": 7, ""connections"": 10, ""sourceReliability"": 8}","{""label"": ""Rome"", ""lat"": 41.9028, ""lng"": 12.4964}","[""SRC_BRITANNICA_ROMAN_SENATE""]"
PER_CAR_001,hannibal-barca,PERSON,Hannibal Barca,Carthaginian commander and Rome's great enemy,Punic Wars,Carthage / Western Mediterranean,c. 247–183 BCE,LEGENDARY,4,NEEDS_REVIEW,Hannibal Barca was the Carthaginian general who brought the Second Punic War into Italy.,His campaign forced Rome into one of its greatest military crises.,"[""Hannibal crossed the Alps with an army during the Second Punic War."", ""He won a major victory at Cannae in 216 BCE."", ""He was defeated by Scipio Africanus at Zama in 202 BCE.""]","[""Carthage"", ""Rome"", ""Punic Wars"", ""Commander""]","{""influence"": 9, ""complexity"": 5, ""legacy"": 10, ""military"": 10, ""culture"": 7, ""politics"": 6, ""religion"": 1, ""economy"": 4, ""connections"": 9, ""sourceReliability"": 8}","{""label"": ""Carthage"", ""lat"": 36.8529, ""lng"": 10.3231}","[""SRC_POLYBIUS"", ""SRC_LIVY"", ""SRC_BRITANNICA_HANNIBAL""]"
WAR_ROM_001,second-punic-war,EVENT,Second Punic War,Rome and Carthage fight for Mediterranean power,Roman Republic,Western Mediterranean,218–201 BCE,LEGENDARY,5,NEEDS_REVIEW,The Second Punic War was the great conflict between Rome and Carthage led by figures like Hannibal and Scipio.,Rome's victory made it the dominant power in the western Mediterranean.,"[""The war began in 218 BCE and ended in 201 BCE."", ""Hannibal fought in Italy for years after crossing the Alps."", ""Rome's victory weakened Carthage and expanded Roman dominance.""]","[""Rome"", ""Carthage"", ""War"", ""Mediterranean""]","{""influence"": 10, ""complexity"": 6, ""legacy"": 10, ""military"": 10, ""culture"": 6, ""politics"": 8, ""religion"": 1, ""economy"": 8, ""connections"": 10, ""sourceReliability"": 8}","{""label"": ""Western Mediterranean"", ""lat"": 40.0, ""lng"": 8.0}","[""SRC_POLYBIUS"", ""SRC_LIVY"", ""SRC_BRITANNICA_PUNIC_WARS""]"
BAT_ROM_001,battle-of-cannae,BATTLE,Battle of Cannae,Hannibal's crushing victory over Rome,Second Punic War,Italy,216 BCE,LEGENDARY,4,NEEDS_REVIEW,"At Cannae, Hannibal defeated a large Roman army in one of history's most studied battlefield victories.",Cannae became a classic example of encirclement and a symbol of Rome's crisis during the war.,"[""The battle took place in 216 BCE during the Second Punic War."", ""Hannibal's army defeated a much larger Roman force according to ancient accounts."", ""Despite the disaster, Rome refused to surrender.""]","[""Battle"", ""Rome"", ""Carthage"", ""Hannibal""]","{""influence"": 9, ""complexity"": 5, ""legacy"": 10, ""military"": 10, ""culture"": 7, ""politics"": 5, ""religion"": 1, ""economy"": 4, ""connections"": 9, ""sourceReliability"": 8}","{""label"": ""Cannae"", ""lat"": 41.296, ""lng"": 16.15}","[""SRC_POLYBIUS"", ""SRC_LIVY"", ""SRC_BRITANNICA_CANNAE""]"
PER_ROM_002,scipio-africanus,PERSON,Scipio Africanus,Roman commander who defeated Hannibal,Punic Wars,Rome / North Africa,c. 236–183 BCE,EPIC,4,NEEDS_REVIEW,Scipio Africanus was the Roman commander who defeated Hannibal at Zama.,His victory secured Rome's triumph in the Second Punic War.,"[""Scipio carried the war into Africa."", ""He defeated Hannibal at the Battle of Zama in 202 BCE."", ""His victory earned him the agnomen Africanus.""]","[""Rome"", ""Commander"", ""Punic Wars"", ""Zama""]","{""influence"": 9, ""complexity"": 5, ""legacy"": 8, ""military"": 10, ""culture"": 5, ""politics"": 6, ""religion"": 1, ""economy"": 4, ""connections"": 8, ""sourceReliability"": 8}","{""label"": ""Rome"", ""lat"": 41.9028, ""lng"": 12.4964}","[""SRC_POLYBIUS"", ""SRC_LIVY"", ""SRC_BRITANNICA_SCIPIO""]"
