id,type,title,subtitle,era,region,date,rarity,campaign,chapter,acquisition,source
PER_ROM_001,PERSON,Ромул,легендарный основатель Рима,Ранний Рим,Лаций,традиционно VIII век до н. э.,EPIC,,,,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%BC%D1%83%D0%BB
EVT_ROM_001,EVENT,Основание Рима,традиционное начало города,Ранний Рим,Лаций,традиционно 753 год до н. э.,LEGENDARY,,,,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D0%BD%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5_%D0%A0%D0%B8%D0%BC%D0%B0
STATE_ROM_001,STATE,Римское царство,Рим до Республики,Ранний Рим,Лаций,традиционно 753–509 годы до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/%D0%A6%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4_%D0%94%D1%80%D0%B5%D0%B2%D0%BD%D0%B5%D0%B3%D0%BE_%D0%A0%D0%B8%D0%BC%D0%B0
EVT_ROM_002,EVENT,Изгнание царей,традиционное рождение Республики,Ранняя Республика,Лаций,традиционно 509 год до н. э.,EPIC,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%98%D0%B7%D0%B3%D0%BD%D0%B0%D0%BD%D0%B8%D0%B5%20%D1%86%D0%B0%D1%80%D0%B5%D0%B9
STATE_ROM_002,STATE,Римская республика,политическая машина Рима,Римская республика,Средиземноморье,509–27 годы до н. э.,MYTHIC,,,,https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D0%BC%D1%81%D0%BA%D0%B0%D1%8F_%D1%80%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0
ORG_ROM_001,FACTION,Римский сенат,совет элиты и центр политики,Республика / Империя,Рим,античность,EPIC,,,,https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D0%BC%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%B5%D0%BD%D0%B0%D1%82
PER_ROM_005,PERSON,Рем,брат Ромула в мифе основания,Ранний Рим,Лаций,легендарный VIII век до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%BC_(%D0%BC%D0%B8%D1%84%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F)
PER_ROM_006,PERSON,Рея Сильвия,мифическая мать Ромула и Рема,Ранний Рим,Альба-Лонга / Лаций,легендарное время,RARE,,,,https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%8F_%D0%A1%D0%B8%D0%BB%D1%8C%D0%B2%D0%B8%D1%8F
LOC_ROM_001,CITY,Палатинский холм,древнейшее ядро поселения Рима,Ранний Рим,Рим,ранний железный век — античность,RARE,,,,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BB%D0%B0%D1%82%D0%B8%D0%BD
REG_ROM_001,CULTURE,Лаций,земля латинов вокруг нижнего Тибра,Железный век / ранняя античность,Центральная Италия,I тысячелетие до н. э.,UNCOMMON,,,,https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D1%86%D0%B8%D0%B9
